Hora,Total_Siniestros,Total_Fallecidos,Total_Graves,Total_Menos_Graves,Total_leves
0,24609,1075,3597,2193,15509
1,19515,1108,3115,1948,12836
2,16475,953,2899,1683,10686
3,15943,1009,2966,1671,10757
4,17929,1185,3215,1891,12100
5,20389,1415,3953,2239,14226
6,22671,1493,4165,2448,15920
7,61972,1875,7801,5012,46821
8,82508,1384,8023,5638,57699
9,59343,964,5734,3934,37759
10,58851,925,5647,3826,36245
11,63679,919,6107,3970,37757
12,70359,964,6356,4223,40463
13,79178,1021,7349,4970,47455
14,70035,1008,6983,4797,44402
15,71141,1223,7743,5031,46250
16,76545,1326,8322,5457,49506
17,82709,1410,9051,6010,52296
18,95973,1924,11154,6894,60200
19,92430,2483,11045,7253,58805
20,73501,2357,9324,6097,46603
21,60351,2234,7993,5118,39021
22,49759,1994,6971,4152,32716
23,35525,1590,5113,3264,23228
