Mes,Total_Siniestros,Total_Fallecidos,Total_Graves,Total_Menos_Graves,Total_leves
Abril,109469,2895,12775,8251,68937
Agosto,109419,2696,11878,7621,66360
Diciembre,118502,2935,13627,8870,76632
Enero,112331,3046,14473,9526,78135
Febrero,100932,2889,13518,8958,73495
Julio,106943,2876,12476,7769,67184
Junio,111360,2867,12463,7903,68650
Marzo,114948,2854,13503,8803,73095
Mayo,114162,3023,13115,8467,71832
Noviembre,109384,2457,12407,8022,69993
Octubre,108672,2548,12361,7907,68846
Septiembre,105268,2753,12030,7622,66101
