Anio,Dia,Siniestros,Fallecidos,Graves,Menos Graves,Leves,
2000,Lunes,5624,246,1051,962,4438,
2000,Martes,5687,174,1021,884,4089,
2000,Miércoles,5741,216,1068,917,4197,
2000,Jueves,5586,179,989,859,4047,
2000,Viernes,6214,208,1085,1064,4533,
2000,Sábado,6416,351,1526,1223,5280,
2000,Domingo,5658,324,1350,1020,5055,
2001,Lunes,6339,205,1008,1014,4393,
2001,Martes,6260,182,1000,898,4465,
2001,Miércoles,6288,180,957,895,4041,
2001,Jueves,6294,192,914,847,4154,
2001,Viernes,6860,191,994,956,4540,
2001,Sábado,6745,267,1236,944,4916,
2001,Domingo,6045,345,1220,1013,4939,
2002,Lunes,6008,194,1022,893,4327,
2002,Martes,6042,167,958,836,4173,
2002,Miércoles,5867,178,926,790,4081,
2002,Jueves,5781,192,938,891,3920,
2002,Viernes,6263,223,1071,892,4386,
2002,Sábado,6217,300,1177,1005,4816,
2002,Domingo,5556,295,1225,977,4818,
2003,Lunes,6457,218,1000,862,4664,
2003,Martes,6388,153,989,767,4329,
2003,Miércoles,6412,217,1006,719,4473,
2003,Jueves,5969,213,884,750,4074,
2003,Viernes,6585,259,1076,776,4513,
2003,Sábado,6783,306,1277,935,4890,
2003,Domingo,5856,337,1265,963,5123,
2004,Lunes,6713,241,971,801,4774,
2004,Martes,6470,176,860,635,4540,
2004,Miércoles,6574,182,907,710,4479,
2004,Jueves,6686,198,954,734,4891,
2004,Viernes,7358,290,1081,798,5162,
2004,Sábado,6917,349,1205,843,5242,
2004,Domingo,5902,321,1188,811,4924,
2005,Lunes,6522,195,945,670,4968,
2005,Martes,6527,192,864,607,4865,
2005,Miércoles,6417,168,857,616,4780,
2005,Jueves,6313,204,854,630,4727,
2005,Viernes,7386,230,1038,812,5615,
2005,Sábado,7328,315,1141,780,5842,
2005,Domingo,5835,322,1145,763,5273,
2006,Lunes,6242,206,877,588,4827,
2006,Martes,6135,175,783,600,4889,
2006,Miércoles,6185,221,857,605,4993,
2006,Jueves,6303,179,835,638,4807,
2006,Viernes,7053,245,921,597,5067,
2006,Sábado,6763,285,1072,685,5556,
2006,Domingo,6158,341,1170,777,5881,
2007,Lunes,7619,175,1010,669,6006,
2007,Martes,7446,210,923,613,5477,
2007,Miércoles,7411,141,946,613,5560,
2007,Jueves,7398,217,968,634,5587,
2007,Viernes,8370,230,1140,716,6227,
2007,Sábado,8324,326,1198,873,6577,
2007,Domingo,7114,346,1189,859,6225,
2008,Lunes,8016,188,959,689,6031,
2008,Martes,8031,167,871,637,5728,
2008,Miércoles,8135,204,967,654,5692,
2008,Jueves,7890,215,965,632,5566,
2008,Viernes,8609,244,1126,782,6410,
2008,Sábado,8696,336,1282,809,6704,
2008,Domingo,7710,428,1318,916,6548,
2009,Lunes,7984,158,810,563,5728,
2009,Martes,7655,174,825,539,5369,
2009,Miércoles,7803,133,802,575,5410,
2009,Jueves,8040,215,981,578,6034,
2009,Viernes,8676,236,1034,653,6089,
2009,Sábado,8708,295,1154,730,6289,
2009,Domingo,7464,297,1142,739,6131,
2010,Lunes,7992,198,826,589,5824,
2010,Martes,7799,174,843,589,5455,
2010,Miércoles,7863,155,835,470,5491,
2010,Jueves,8307,202,919,567,5839,
2010,Viernes,9394,235,1084,669,6594,
2010,Sábado,8766,283,1177,682,6368,
2010,Domingo,7625,348,1215,755,6173,
2011,Lunes,8428,199,876,596,5769,
2011,Martes,8613,167,819,547,5649,
2011,Miércoles,8585,162,737,476,5668,
2011,Jueves,8512,200,801,595,5836,
2011,Viernes,10149,200,1066,669,6714,
2011,Sábado,10151,325,1207,780,7037,
2011,Domingo,8396,320,1218,791,6361,
2012,Lunes,8887,200,909,578,6097,
2012,Martes,8622,196,834,550,5855,
2012,Miércoles,8726,172,818,504,5849,
2012,Jueves,8799,190,837,489,5820,
2012,Viernes,9726,189,1012,585,6639,
2012,Sábado,9259,299,1101,608,6375,
2012,Domingo,7772,277,1059,606,6100,
2013,Lunes,10731,195,990,630,6802,
2013,Martes,10384,186,934,564,6583,
2013,Miércoles,10171,214,995,560,6526,
2013,Jueves,10209,207,968,597,6401,
2013,Viernes,11567,210,1167,643,7560,
2013,Sábado,10899,305,1205,713,7180,
2013,Domingo,9315,306,1171,709,6694,
2014,Lunes,11280,200,1020,530,6470,
2014,Martes,11292,206,968,545,6454,
2014,Miércoles,11536,189,1056,572,6562,
2014,Jueves,10861,222,1005,540,6381,
